consumption,price,income
5.0905261,-1.6024187,2.3429723
5.0923243,-1.5729126,2.3170676
5.0939498,-1.5475041,2.3400757
5.0674877,-1.5051202,2.323478
5.0497622,-1.4567251,2.3351963
5.0495663,-1.4386415,2.3649671
5.090734,-1.4373149,2.3806262
5.0924501,-1.4344685,2.3789606
5.0880032,-1.4285374,2.3536892
5.1134048,-1.4183393,2.353004
5.1164641,-1.4170392,2.3545303
5.1173649,-1.4199016,2.3565207
5.1081805,-1.4243407,2.4243219
5.1494708,-1.4272897,2.4148705
5.1548834,-1.4182742,2.4260168
5.1439166,-1.4079866,2.4314344
5.2159104,-1.3992701,2.4270437
5.2334762,-1.3992062,2.4390707
5.2735491,-1.4062499,2.4409356
5.280098,-1.3916416,2.4381897
5.2847915,-1.3828781,2.4337482
5.2994194,-1.3798066,2.4418461
5.3255448,-1.3754356,2.456815
5.342412,-1.3782432,2.4715536
5.3398809,-1.3656389,2.4814465
5.3308029,-1.3531911,2.4916413
5.3229885,-1.3235319,2.4829648
5.2972422,-1.309142,2.4719491
5.3051996,-1.3093752,2.4732373
5.3034759,-1.3108345,2.469116
5.329155,-1.3202246,2.4753232
5.3573847,-1.3243011,2.4898846
5.3659897,-1.3175156,2.5003071
5.3850455,-1.3096089,2.5197976
5.3808217,-1.2991048,2.5339439
5.4043002,-1.2963952,2.5403543
5.4182024,-1.2936929,2.5461652
5.4262676,-1.2883669,2.5519462
5.3951311,-1.2640492,2.551502
5.4232545,-1.2578808,2.5622969
5.4262633,-1.2369397,2.559907
5.4026976,-1.2273291,2.5623469
5.4346881,-1.234826,2.5627551
5.4295897,-1.234826,2.5525324
5.4363132,-1.2251288,2.5394979
5.4922676,-1.2495505,2.5421517
5.4916668,-1.2383509,2.5580027
5.5269098,-1.2604879,2.5655792
5.5397739,-1.2531278,2.5684001
5.5312343,-1.2375906,2.5835392
5.5190492,-1.2292656,2.5784099
5.4978657,-1.1977878,2.5819213
5.5126157,-1.2140917,2.5854273
5.5579171,-1.2139858,2.5867598
5.5134411,-1.1883898,2.583127
5.5078683,-1.186995,2.5776958
5.5141802,-1.1962239,2.58302
5.5690947,-1.2327168,2.5942531
